"Date","Price","Open","High","Low","Change %"
"Jan 01, 2018","2,984.50","2,984.50","2,984.50","2,984.50","0.00%"
"Dec 29, 2017","2,984.50","2,985.47","2,985.47","2,983.50","0.03%"
"Dec 28, 2017","2,983.50","2,976.50","2,990.47","2,971.80","0.28%"
"Dec 27, 2017","2,975.13","2,959.68","2,975.74","2,957.33","0.37%"
"Dec 26, 2017","2,964.09","2,962.36","2,972.82","2,961.49","0.19%"
"Dec 25, 2017","2,958.50","2,958.50","2,958.50","2,958.50","0.00%"
"Dec 22, 2017","2,958.50","2,967.20","2,972.20","2,954.00","-0.33%"
"Dec 21, 2017","2,968.40","2,961.18","2,977.99","2,961.18","0.28%"
"Dec 20, 2017","2,960.00","2,967.23","2,978.60","2,955.00","-0.33%"
"Dec 19, 2017","2,969.74","2,978.51","2,982.89","2,965.26","-0.28%"
"Dec 18, 2017","2,978.01","3,001.80","3,001.80","2,965.69","-0.63%"
"Dec 15, 2017","2,996.79","2,998.26","3,002.91","2,990.81","0.06%"
"Dec 14, 2017","2,994.90","3,009.34","3,015.87","2,994.89","-0.57%"
"Dec 13, 2017","3,012.01","3,031.84","3,031.84","3,004.84","-0.53%"
"Dec 12, 2017","3,028.14","3,016.22","3,039.26","3,015.97","0.49%"
"Dec 11, 2017","3,013.50","3,015.00","3,020.50","3,008.00","0.10%"
"Dec 08, 2017","3,010.50","3,012.20","3,012.90","3,006.00","-0.02%"
"Dec 07, 2017","3,011.20","3,011.50","3,024.00","3,006.80","0.07%"
"Dec 06, 2017","3,008.97","2,995.08","3,015.19","2,992.05","0.45%"
"Dec 05, 2017","2,995.35","2,994.75","3,005.15","2,990.56","0.15%"
"Dec 04, 2017","2,990.80","2,999.91","3,003.07","2,990.80","-0.36%"
"Dec 01, 2017","3,001.65","3,016.29","3,021.54","2,996.80","-0.45%"
"Nov 30, 2017","3,015.30","3,009.80","3,019.51","2,998.86","0.32%"
"Nov 29, 2017","3,005.66","2,994.86","3,013.35","2,994.65","0.35%"
"Nov 28, 2017","2,995.26","3,007.55","3,017.09","2,992.05","-0.29%"
"Nov 27, 2017","3,003.92","2,983.97","3,008.62","2,972.82","0.75%"
"Nov 24, 2017","2,981.45","2,976.11","2,984.57","2,969.61","0.12%"
"Nov 23, 2017","2,977.75","2,974.00","2,981.70","2,973.00","0.07%"
"Nov 22, 2017","2,975.66","2,996.39","3,004.80","2,973.74","-0.61%"
"Nov 21, 2017","2,994.00","3,016.00","3,016.00","2,991.00","-0.50%"
